season,batter,pa_22g,ros_woba_delta_vs_prior,q10,q50,q90
2024,656976,50,0.09972075412596565,-0.04900695641629543,0.005474156455764045,0.06047211652772555
2024,657041,97,0.0006989498170452135,-0.07946430179528247,-0.027246623159540462,0.022101765141501917
2024,657077,89,-0.0521742577161155,-0.06941699013349575,-0.01795157150202431,0.029463553171996948
2024,657136,80,-0.007089922037838703,-0.06931765961340641,-0.007009276186771218,0.061074220995745665
2024,657557,66,0.04074881319021573,-0.05177010489510486,0.018057252583841166,0.07275942064727942
2024,657656,69,0.043799100855829665,-0.07427892921403387,-0.014706600222414101,0.041215998507665164
2024,657757,83,-0.02550621006644882,-0.04937852027080819,0.003105158730158708,0.05616245173286899
2024,658668,81,-0.04433475740733861,-0.06440760294961762,-0.01215775254200524,0.04218995960436239
2024,660271,101,0.02141161787788909,-0.07478645066273926,-0.01886726929064597,0.04775335971486799
2024,660644,68,0.07510703516052877,-0.017332956499076374,0.07605820203980962,0.1690610859728507
2024,660670,103,-0.11251875781100584,-0.08332765374481915,-0.032300971790061916,0.020506958822176236
2024,660688,89,-0.028651390798923537,-0.07946430179528247,-0.027779885929535064,0.027595588482856426
2024,660707,88,-0.048669722246676594,-0.07932743662539302,-0.016720473132004032,0.03860626614987078
2024,660766,97,0.024061733502763083,-0.035489299549120445,0.02220788432763099,0.07939755197651704
2024,660821,68,0.0009438663261826519,-0.06567367325107226,-0.009944138515302403,0.04218995960436239
2024,661388,102,-0.0020771895140409002,-0.060145059838509374,-0.012948586771813542,0.04148379971238858
2024,662139,84,-0.031781403439045286,-0.0621171387397732,-0.00932393575987095,0.04698021649869355
2024,663368,93,-0.025793763288447902,-0.05910694699067798,-0.00466672896656839,0.04857981220657276
2024,663457,91,0.018721443838883356,-0.06875273810203808,-0.020401438266728023,0.023801998087468138
2024,663527,76,-0.06523371732388122,-0.06557274109135686,-0.016477542202250783,0.024812965594101843
2024,663538,95,-0.01677560998604688,-0.06542327944167187,-0.017108678167856883,0.026324817805480794
2024,663586,101,-0.029490008310610827,-0.07061301251824847,-0.02453446349766014,0.020716785961531047
2024,663616,81,0.02361152412985773,-0.05641163919204889,-0.003604727495800153,0.05616245173286899
2024,663624,95,-0.01483904150820281,-0.05343613315909185,-0.008696229652045917,0.03769560958259249
2024,663647,99,-0.07812659228792912,-0.06969588851140329,-0.01612791947052611,0.03760315318137836
2024,663656,101,0.05176875652124624,-0.06445310361775253,-0.018501062213583497,0.04196074623878604
2024,663662,78,-0.01273102960991157,-0.03594837015178021,0.01788679873985216,0.08911312633869073
2024,663697,98,-0.0020019474911214807,-0.06924511856808474,-0.01795157150202431,0.021572485315408896
2024,663698,79,0.08317150635208714,-0.0334338329449797,0.02301368011534638,0.09260109630217994
2024,663728,88,0.010925849756470707,-0.05809039924482201,-0.005018772745393529,0.05589269432398586
