pick_type,target_player,target_mlbam,analog_player,analog_mlbam,season,cosine_sim,first22_woba,first22_xwoba_gap,ros_woba,ros_delta_vs_prior,ros_iso,ros_k_rate
fake_hot,Matt Olson,621566,Yordan Álvarez,670541,2023,0.9382354295819703,0.4175257731958763,-0.03838315985695573,0.43307888040712467,0.026998123240374095,0.2948328267477204,0.1658291457286432
fake_hot,Matt Olson,621566,Paul Goldschmidt,502671,2019,0.9271973695397836,0.4458333333333333,-0.0519839583333333,0.35846286701208985,-0.056091619784958524,0.19646365422396855,0.23580034423407917
fake_hot,Matt Olson,621566,Travis Shaw,543768,2018,0.9246336668754211,0.41684782608695653,-0.0482192391304348,0.3567622950819672,-0.0005088438525106542,0.23923444976076555,0.1797979797979798
fake_hot,Matt Olson,621566,Mike Trout,545361,2023,0.9222663675765674,0.4391089108910891,-0.023693417582417553,0.3561776061776062,-0.08988394061459232,0.2062780269058296,0.29389312977099236
fake_hot,Matt Olson,621566,Ronald Acuña,660670,2019,0.9186760871055966,0.4577319587628866,-0.04935677791182275,0.38664495114006514,-0.011911749890862744,0.23175182481751821,0.2669902912621359
fake_hot,Mike Trout,545361,Sean Murphy,669221,2023,0.928223349326317,0.4218085106382979,0.02758103769994913,0.3607558139534884,0.02273551927493922,0.20068027210884354,0.22093023255813954
fake_hot,Mike Trout,545361,Trent Grisham,663757,2020,0.9251491593074578,0.38021978021978026,0.0045425308913308315,0.360377358490566,0.023445540308747848,0.18571428571428572,0.25625
fake_hot,Mike Trout,545361,Mike Trout,545361,2019,0.9243298963300395,0.5044444444444445,0.015138544444444402,0.46181262729124234,-0.003030942565966477,0.3564356435643565,0.21428571428571427
fake_hot,Mike Trout,545361,Max Kepler,596146,2022,0.9101213281272266,0.38373493975903616,0.016255482400685972,0.29599447513812155,-0.04937852027080819,0.09090909090909091,0.14560439560439561
fake_hot,Mike Trout,545361,Freddie Freeman,518692,2018,0.8950489465990258,0.436734693877551,0.008207142857142913,0.39429530201342283,-0.024759940607553488,0.1880819366852886,0.19008264462809918
fake_cold,Henry Davis,680779,Juan Lagares,501571,2017,0.8963325235423715,0.2708333333333333,0.01994977083333338,0.31095890410958904,0.004578062728747612,0.1291866028708134,0.21524663677130046
fake_cold,Henry Davis,680779,Matt Vierling,663837,2022,0.8138508830281519,0.2542372881355932,0.033562583131557744,0.3016778523489933,-0.0766116213352172,0.10622710622710624,0.18791946308724833
fake_cold,Henry Davis,680779,Ha-Seong Kim,673490,2021,0.8130133180567659,0.28220338983050847,-0.015336039765319387,0.2853813559322034,0.04391600890455169,0.16822429906542055,0.2375
fake_cold,Henry Davis,680779,Daulton Varsho,662139,2021,0.8099174095386582,0.22999999999999998,0.04820205090031299,0.3678861788617886,0.06397313538352772,0.2256637168141593,0.192
fake_cold,Henry Davis,680779,Manuel Margot,622534,2024,0.8020850267088924,0.2330508474576271,0.04823112044771738,0.29430604982206404,-0.020864899298406125,0.10227272727272729,0.14035087719298245
fake_cold,Victor Scott,687363,Drew Butera,460077,2018,0.9399234497032726,0.2605633802816901,-0.00012091549295772941,0.2768181818181818,-0.0201919674362388,0.13861386138613863,0.19090909090909092
fake_cold,Victor Scott,687363,Austin Hedges,595978,2022,0.9254188713131383,0.23421052631578948,0.007786277515369616,0.24087301587301588,-0.01426461818383326,0.08520179372197309,0.2230769230769231
fake_cold,Victor Scott,687363,Dylan Carlson,666185,2024,0.9209194281040817,0.23017241379310344,0.020944448275862115,0.2719806763285024,-0.04678124489783442,0.08108108108108109,0.2932692307692308
fake_cold,Victor Scott,687363,Adam Engel,641553,2018,0.9192618996438319,0.23800000000000002,0.0184651333333333,0.29893333333333333,0.03778782249742002,0.1104972375690608,0.2857142857142857
fake_cold,Victor Scott,687363,Jeff Mathis,425772,2016,0.9145274582633864,0.22608695652173913,-0.007640057971014497,0.35333333333333333,0.1043333333333333,0.1166666666666667,0.2857142857142857
fake_cold,Thomas Saggese,695336,Ryan Mcmahon,641857,2018,0.9253262794112329,0.19509803921568625,0.0234937254901961,0.34797297297297297,0.07505630630630633,0.18382352941176472,0.2913907284768212
fake_cold,Thomas Saggese,695336,José Azocar,640492,2022,0.9109199313827494,0.25462962962962965,0.01151384208384204,0.3163522012578616,0.027595588482856426,0.0903225806451613,0.17177914110429449
fake_cold,Thomas Saggese,695336,Hank Conger,474233,2016,0.903942135821041,0.19137931034482758,-0.007571793103448271,0.3211538461538462,-0.010925799863852947,0.20000000000000004,0.3
fake_cold,Thomas Saggese,695336,Luke Raley,670042,2024,0.902214908819359,0.23583333333333334,0.0009053833333333428,0.36393861892583124,0.057828811935742575,0.2485549132947977,0.29620253164556964
fake_cold,Thomas Saggese,695336,Nick Williams,608384,2018,0.8909961981071117,0.2537037037037037,0.023788703703703673,0.34245524296675195,-0.022850879482227637,0.1802816901408451,0.23785166240409208
fake_cold,Carson Benge,701807,Martín Maldonado,455117,2023,0.9415753676697967,0.23026315789473684,0.039566430286241905,0.28683385579937304,-5.0383751400429055e-06,0.17687074829931976,0.36363636363636365
fake_cold,Carson Benge,701807,Matt Joyce,459964,2015,0.9404886001325113,0.17467532467532468,0.03848738961038961,0.31163366336633663,0.04444607108947363,0.1511627906976744,0.24019607843137256
