season,pitcher,starts_full
2025,680694,6
2025,680730,30
2025,680732,22
2025,680735,1
2025,680736,2
2025,680742,1
2025,680755,1
2025,680880,2
2025,680885,17
2025,680951,1
2025,681151,1
2025,681190,26
2025,681293,7
2025,681343,29
2025,681347,19
2025,681517,1
2025,681857,13
2025,681867,1
2025,682052,17
2025,682243,18
2025,682847,16
2025,682989,3
2025,682990,24
2025,683004,29
2025,683155,2
2025,683627,1
2025,684007,24
2025,684320,1
2025,685107,1
2025,685126,3
2025,685299,15
2025,685326,7
2025,686218,12
2025,686563,17
2025,686613,31
2025,686642,3
2025,686701,15
2025,686730,2
2025,686752,31
2025,686790,2
2025,686799,23
2025,686930,5
2025,686973,1
2025,686993,1
2025,687064,12
2025,687075,4
2025,687134,12
2025,687223,7
2025,687362,6
2025,687473,17
2025,687606,2
2025,687765,8
2025,687830,3
2025,687888,9
2025,687922,5
2025,687931,5
2025,688107,2
2025,688138,15
2025,688158,2
2025,689017,7
2025,689225,1
2025,690916,10
2025,690928,11
2025,690953,8
2025,690986,6
2025,690990,22
2025,690997,8
2025,691587,20
2025,691799,2
2025,691951,2
2025,693313,3
2025,693433,30
2025,693645,14
2025,693821,28
2025,693855,5
2025,694297,33
2025,694363,2
2025,694462,9
2025,694477,23
2025,694646,1
2025,694738,22
2025,694819,14
2025,694918,2
2025,694973,32
2025,695418,19
2025,695505,8
2025,695534,2
2025,695549,10
2025,696149,4
2025,700241,16
2025,700249,20
2025,700363,9
2025,701487,3
2025,701519,2
2025,701542,33
2025,701581,10
2025,701656,5
2025,702056,3
2025,702070,24
2025,702674,5
2025,800048,7
2025,800049,6
2025,800311,4
2025,801139,3
2025,801403,21
2025,802419,1
2025,804636,5
2025,805123,3
2025,805673,16
2025,806185,10
2025,806188,1
2025,806960,9
2025,808963,7
2025,808967,29
2025,813349,4
2025,815083,5
2025,829272,2
2026,434378,1
2026,453286,5
2026,500779,3
2026,518876,2
2026,519242,5
2026,527048,3
2026,543135,5
2026,543243,5
2026,547179,6
2026,571510,2
2026,571578,3
2026,571927,5
2026,571945,3
2026,579328,6
2026,592332,5
2026,592662,5
2026,592791,5
2026,592836,4
2026,593958,5
2026,594798,5
2026,601713,3
2026,605135,5
2026,605280,5
2026,605288,5
2026,605400,5
2026,605488,5
2026,605540,5
2026,607067,2
2026,607192,5
2026,607200,3
2026,607259,5
2026,607536,3
2026,607625,5
2026,608331,5
2026,608372,5
2026,608379,5
2026,608566,4
2026,608718,1
2026,621107,1
2026,621111,5
2026,621121,5
2026,622491,5
2026,622663,6
2026,623474,3
2026,624133,5
2026,625643,5
2026,641743,3
2026,641778,4
2026,641793,4
2026,641816,5
2026,641927,5
2026,642121,1
2026,642547,5
2026,645261,6
2026,647315,1
2026,647336,5
2026,650633,5
2026,650644,5
2026,650911,5
2026,656302,5
2026,656427,5
2026,656492,5
2026,656550,6
2026,656605,5
2026,656641,1
2026,656849,4
2026,656876,4
2026,657277,5
2026,657514,1
2026,657746,5
2026,660271,4
2026,660761,1
2026,661563,3
2026,663362,2
2026,663372,5
2026,663436,5
2026,663460,5
2026,663542,1
2026,663554,5
2026,663556,4
2026,663567,2
2026,663623,5
2026,663903,5
2026,663978,4
2026,664074,1
2026,664126,1
2026,664285,6
2026,664299,3
2026,665152,2
2026,665795,5
2026,665871,3
2026,666142,5
2026,666200,5
2026,667755,5
2026,668678,4
2026,668909,6
2026,668964,1
2026,669022,5
2026,669084,1
2026,669160,5
2026,669194,5
2026,669302,5
2026,669358,5
2026,669372,3
2026,669373,5
2026,669387,4
2026,669432,4
2026,669438,1
2026,669461,4
2026,669467,5
2026,669923,6
2026,669947,1
2026,671096,5
2026,671212,3
2026,671737,6
2026,672282,5
2026,672456,4
2026,673540,4
2026,673929,1
2026,675660,1
2026,675848,1
2026,675989,2
2026,676083,5
2026,676106,5
2026,676282,5
2026,676440,5
2026,676467,1
2026,676571,4
2026,676879,1
2026,676917,5
2026,676974,5
2026,676979,4
2026,677944,5
2026,677952,5
2026,677958,4
2026,677960,5
2026,678394,5
2026,679775,1
2026,679883,1
2026,680573,5
2026,680694,5
2026,680732,4
2026,680736,3
2026,680755,1
2026,680802,2
2026,681035,1
2026,681190,5
2026,681293,2
2026,681343,2
2026,681347,5
2026,681517,5
2026,682052,5
2026,682227,5
2026,682254,1
2026,683004,5
2026,684007,5
2026,686218,5
2026,686613,1
2026,686799,5
2026,687064,2
2026,687075,3
2026,687570,1
2026,689254,1
2026,689441,1
2026,690953,3
2026,690986,4
2026,690990,2
2026,690997,5
2026,691587,5
2026,691725,4
2026,691799,4
2026,691946,2
2026,693433,5
2026,693645,6
2026,693821,5
2026,694297,3
2026,694477,3
2026,694738,5
2026,694819,4
2026,694973,5
2026,695076,5
2026,695505,5
2026,696149,5
2026,696270,1
2026,700241,5
2026,700249,1
2026,700712,1
2026,701542,6
2026,701656,1
2026,702070,5
2026,702273,2
2026,702275,1
2026,702303,1
2026,800048,5
2026,800311,1
2026,801139,1
2026,806960,2
2026,808963,4
2026,808967,4
2026,813349,5
2026,837227,3
